lat,lon,country
31.95,-103.83,United States
-19.4,-66.76,Bolivia
33.71,-116.75,United States
61.31,-152.49,United States
38.83,-122.78,United States
61.29,-152.63,United States
61.31,-152.51,United States
35.32,-117.8,United States
61.29,-152.52,United States
61.28,-152.22,United States
46.87,-121.91,United States
33.62,-116.69,United States
60.06,-153.12,United States
37.17,-118.12,United States
31.66,-104.37,United States
63.13,-149.38,United States
29.11,-97.75,United States
33.48,-118.28,United States
60.61,-150.45,United States
32.81,-115.46,United States
32.3,-101.84,United States
65.52,-149.91,United States
34.98,-116.95,United States
60.32,-143.01,United States
61.7,-149.92,United States
38.82,-122.78,United States
40.28,-124.16,United States
39.69,-123.65,United States
57.76,-154.59,United States
33.54,-116.72,United States
60.43,-147.54,United States
33.65,-116.76,United States
33.66,-116.75,United States
37.61,-118.77,United States
61.3,-152.37,United States
35.31,-117.81,United States
61.29,-152.35,United States
31.89,-104.64,United States
62.61,-149.74,United States
60.61,-152.82,United States
60.02,-152.96,United States
60.25,-151.15,United States
60.04,-153.06,United States
37.57,-119.08,United States
51.56,179.33,United States
60.06,-153.06,United States
40.09,-109.32,United States
58.47,-154.5,United States
31.64,-104.06,United States
33.13,-116.43,United States
60.03,-153.06,United States
62.13,-149.06,United States
59.15,-151.55,United States
38.06,-118.91,United States
36.74,-121.4,United States
28.87,-98.98,United States
51.52,-178.48,United States
37.19,-112.87,United States
44.67,-111.03,United States
51.77,-178.15,United States
61.3,-152.51,United States
44.8,-110.85,United States
58.47,-154.47,United States
36.99,-116.19,United States
52.0,-177.18,United States
36.99,-116.18,United States
-7.74,118.88,Indonesia
42.47,-111.16,United States
39.28,-123.43,United States
54.58,-159.64,United States
39.15,-119.07,United States
39.68,-123.66,United States
34.39,-117.66,United States
58.35,-153.88,United States
32.9,-116.49,United States
34.11,-117.44,United States
33.71,-116.93,United States
56.21,-159.41,United States
61.37,-152.34,United States
47.73,-113.78,United States
19.51,-155.92,United States
54.76,-163.98,United States
51.53,-177.19,United States
56.16,-159.41,United States
35.71,-117.51,United States
37.48,-121.82,United States
60.04,-153.08,United States
39.54,20.75,Greece
40.23,-121.16,United States
47.57,-121.75,United States
36.78,-89.92,United States
33.66,-116.76,United States
38.81,-122.77,United States
38.82,-122.86,United States
61.32,-152.48,United States
33.5,-116.5,United States
34.0,-117.19,United States
34.01,-117.19,United States
38.83,-122.85,United States
32.26,-103.27,United States
38.79,-122.73,United States
52.67,-169.74,United States
38.8,-122.75,United States
35.83,-119.26,United States
36.66,-116.27,United States
64.63,-150.57,United States
40.78,-124.31,United States
32.18,-101.71,United States
53.96,-166.53,United States
59.41,-154.24,United States
64.58,-147.91,United States
18.02,-66.6,United States
38.91,-123.03,United States
40.81,-74.56,United States
33.27,-116.41,United States
44.76,-111.48,United States
31.7,-101.98,United States
34.22,-117.46,United States
60.02,-153.13,United States
31.97,-102.05,United States
32.13,-101.48,United States
38.78,-122.74,United States
32.17,-101.7,United States
60.91,-150.88,United States
61.11,-150.06,United States
61.9,-150.94,United States
34.21,-117.46,United States
47.95,-122.41,United States
38.58,-122.79,United States
44.77,-111.46,United States
61.44,-151.96,United States
31.72,-104.52,United States
32.83,-115.47,United States
32.93,-116.25,United States
40.82,-74.55,United States
32.18,-101.7,United States
61.94,-151.04,United States
33.75,-115.92,United States
40.81,-74.58,United States
61.88,-150.94,United States
60.99,-146.89,United States
59.18,-137.14,Canada
61.31,-152.53,United States
31.72,-104.5,United States
51.8,-178.91,United States
34.23,-117.44,United States
58.34,-154.61,United States
35.03,-117.69,United States
-26.15,-69.13,Chile
64.59,-153.37,United States
64.62,-150.57,United States
64.99,-147.49,United States
52.05,-176.14,United States
33.59,-116.85,United States
-5.48,150.98,Papua New Guinea
31.68,-104.42,United States
19.48,-155.44,United States
-45.15,167.11,New Zealand
39.14,139.82,Japan
61.3,-152.52,United States
40.8,-74.59,United States
57.07,-135.7,United States
61.62,-149.81,United States
33.67,-116.78,United States
39.63,-119.24,United States
47.79,-113.72,United States
39.19,-123.38,United States
33.67,-116.79,United States
61.37,-150.06,United States
59.83,-152.01,United States
35.95,-117.69,United States
31.67,-104.39,United States
33.68,-116.78,United States
60.09,-152.62,United States
34.02,-117.21,United States
61.33,-152.3,United States
61.31,-152.48,United States
32.1,-101.07,United States
51.33,179.57,United States
17.93,-66.86,United States
40.47,-124.16,United States
36.89,-121.62,United States
32.61,-116.97,United States
52.79,-169.89,United States
52.79,-169.91,United States
40.82,-74.58,United States
61.31,-152.45,United States
31.61,-103.99,United States
31.61,-103.96,United States
38.8,-122.74,United States
59.74,-152.49,United States
32.04,-103.05,United States
36.78,-121.5,United States
31.67,-104.41,United States
63.03,-151.01,United States
38.78,-122.76,United States
