latitude,longitude,acq_date,acq_time,brightness,confidence,frp
-8.92023,-47.35386,2025-07-22,26,313.88,88,14.26
-14.64693,-46.83673,2025-07-22,24,334.39,100,43.78
-8.92155,-47.36361,2025-07-22,26,307.44,71,8.88
-8.911,-47.35516,2025-07-22,26,319.25,98,19.2
-14.64224,-46.83239,2025-07-22,24,330.05,100,36.93
-8.91232,-47.3649,2025-07-22,26,327.19,100,28.75
-14.64364,-46.84309,2025-07-22,24,308.67,75,11.12
-8.89452,-50.15639,2025-07-22,26,304.99,62,10.78
-13.30904,-42.40337,2025-07-22,24,301.58,42,6.19
-8.88343,-50.15779,2025-07-22,26,329.34,100,54.58
-13.70144,-45.7043,2025-07-22,24,316.9,94,17.23
-13.68867,-45.67741,2025-07-22,24,350.18,100,67.84
-8.10236,-46.82431,2025-07-22,26,306.53,68,7.25
-13.68992,-45.6868,2025-07-22,24,333.6,100,36.88
-7.87744,-47.75463,2025-07-22,26,311.25,82,11.81
-13.69242,-45.70559,2025-07-22,24,303.76,57,7.57
-7.25304,-44.29539,2025-07-22,26,306.31,68,6.56
-7.25438,-44.30484,2025-07-22,26,309.45,77,8.71
-7.17719,-44.14685,2025-07-22,26,307.45,71,7.29
-6.97637,-42.80747,2025-07-22,26,305.4,64,8.58
-7.20518,-45.32512,2025-07-22,26,305.51,65,5.67
-7.20643,-45.33405,2025-07-22,26,327.94,100,25.86
-7.14647,-46.09736,2025-07-22,26,326.56,100,24.17
-7.1477,-46.10622,2025-07-22,26,308.58,44,7.37
-7.51663,-49.44207,2025-07-22,26,311.28,82,15.58
-7.13439,-48.7169,2025-07-22,26,319.38,98,22.43
-6.67294,-45.66546,2025-07-22,26,305.26,64,6.27
-7.27646,-50.31865,2025-07-22,26,301.75,44,8.65
-7.2783,-50.33255,2025-07-22,26,310.38,80,18.82
-7.09149,-49.1617,2025-07-22,26,314.6,90,16.87
-7.09302,-49.17332,2025-07-22,26,329.48,100,39.3
-7.083,-49.17468,2025-07-22,26,307.42,71,10.04
-6.51136,-45.30958,2025-07-22,26,304.44,60,6.46
-6.16266,-43.75916,2025-07-22,26,304.59,61,6.14
-6.19779,-44.38617,2025-07-22,26,322.56,100,21.41
-6.19915,-44.3958,2025-07-22,26,314.36,89,12.65
-6.48598,-47.18816,2025-07-22,26,310.48,80,9.22
-5.91645,-43.46574,2025-07-22,26,305.56,65,7.36
-6.64034,-49.75772,2025-07-22,26,316.86,94,23.28
-6.62995,-49.75909,2025-07-22,26,317.87,96,24.8
-5.68755,-43.6579,2025-07-22,26,308.7,75,8.92
-5.68907,-43.6685,2025-07-22,26,365.32,100,129.04
-5.69058,-43.679,2025-07-22,26,306.69,42,7.18
-5.73039,-43.95644,2025-07-22,26,306.44,68,7.34
-5.67796,-43.65931,2025-07-22,26,328.48,100,32.24
-5.67948,-43.66985,2025-07-22,26,348.93,100,74.91
-5.66837,-43.66068,2025-07-22,26,313.93,87,13.57
-5.66989,-43.67119,2025-07-22,26,319.89,99,20.38
-6.57652,-51.1035,2025-07-22,26,316.71,94,30.64
-6.57947,-51.10875,2025-07-22,26,309.58,78,17.64
-5.56724,-45.21088,2025-07-22,26,309.83,78,9.16
-5.56852,-45.21999,2025-07-22,26,305.04,63,5.72
-5.84414,-48.15502,2025-07-22,26,310.57,69,11.58
-4.38545,-43.28625,2025-07-22,26,409.36,100,457.76
-4.38706,-43.29765,2025-07-22,26,358.36,100,116.7
-4.37546,-43.28775,2025-07-22,26,315.77,92,17.67
-4.37708,-43.29917,2025-07-22,26,304.92,40,6.06
-4.4812,-46.07587,2025-07-22,26,302.58,48,4.43
-4.68331,-48.2751,2025-07-22,26,304.31,56,7.45
-3.49976,-43.24506,2025-07-22,26,306.02,39,10.73
-3.35415,-42.87403,2025-07-22,26,307.09,68,14.56
-3.65005,-48.32892,2025-07-22,26,304.77,62,4.98
-3.18722,-49.44783,2025-07-22,26,311.08,82,11.12
-3.18869,-49.45858,2025-07-22,26,310.95,81,10.86
-3.17754,-49.44915,2025-07-22,26,399.34,100,328.79
-3.179,-49.45988,2025-07-22,26,372.15,100,162.05
-6.59074,34.50154,2025-07-22,20,304.59,61,8.74
-8.0304,34.61463,2025-07-22,22,302.45,49,6.78
-11.5872,37.77309,2025-07-22,22,304.6,52,9.82
-11.58883,37.7846,2025-07-22,22,309.78,78,14.79
-11.58809,37.77808,2025-07-22,22,315.31,46,19.34
-11.59804,37.7767,2025-07-22,22,325.28,95,32.95
-11.60642,37.76372,2025-07-22,22,314.21,26,17.26
-11.608,37.77528,2025-07-22,22,333.84,100,48.67
-11.62472,37.7494,2025-07-22,22,304.62,11,9.7
-11.62631,37.76093,2025-07-22,22,326.42,100,36.4
-11.63946,37.78263,2025-07-22,22,322.33,100,29.73
-11.65265,37.80442,2025-07-22,22,306.42,68,12.45
-11.68122,37.56144,2025-07-22,22,300.88,10,7.75
-12.35283,38.36621,2025-07-22,22,301.77,36,8.87
31.32772,49.28858,2025-07-22,9,309.45,76,11.58
31.57871,47.72458,2025-07-22,9,311.77,80,12.02
31.41298,48.64984,2025-07-22,9,312.56,83,15.46
31.30359,49.12368,2025-07-22,9,310.01,77,12.97
31.76868,46.04541,2025-07-22,9,327.42,100,25.6
31.76694,46.05614,2025-07-22,9,311.55,82,9.19
31.27704,48.87924,2025-07-22,9,308.35,67,8.83
31.13998,49.31617,2025-07-22,9,322.5,100,31.76
31.137,49.33166,2025-07-22,9,334.8,100,61.01
31.12638,49.32895,2025-07-22,9,310.23,78,11.22
31.13458,49.32417,2025-07-22,9,335.21,100,61.51
31.13169,49.3397,2025-07-22,9,311.59,81,13.27
31.27117,48.1194,2025-07-22,9,349.05,100,85.41
30.98987,49.59612,2025-07-22,9,315.33,90,16.31
31.30596,47.79854,2025-07-22,9,312.92,84,13.42
31.23533,47.96867,2025-07-22,9,315.49,90,16.54
30.90563,49.6788,2025-07-22,9,318.8,97,24.8
31.16825,48.05462,2025-07-22,9,339.83,100,59.05
31.16592,48.06776,2025-07-22,9,352.99,100,97.22
30.7243,49.82948,2025-07-22,9,313.32,86,15.67
31.09139,47.78783,2025-07-22,9,322.09,100,25.07
31.08913,47.80058,2025-07-22,9,316.66,93,17.7
31.08931,47.62959,2025-07-22,9,309.41,75,9.25
